the,supreme,court,1,52,52
a,person,s,1,28,28
retired,sheriff,s,1,22,22
the,ability,to,1,19,19
the,officer,s,1,18,18
the,role,of,1,17,17
there,is,no,1,17,17
a,variety,of,1,16,16
the,new,york,2,31,15.5
the,court,s,1,15,15
the,work,of,1,15,15
most,of,the,1,14,14
of,law,enforcement,1,14,14
of,the,most,1,14,14
based,on,the,1,13,13
he,said,the,1,13,13
in,which,the,1,13,13
the,time,to,1,13,13
by,the,los,1,12,12
in,the,nation,1,12,12
involved,in,the,1,12,12
of,the,department,1,12,12
of,the,police,1,12,12
said,this,is,1,12,12
the,department,s,2,24,12
the,people,of,1,12,12
to,be,done,1,12,12
to,protect,the,1,12,12
law,enforcement,agency,3,35,11.66666667
and,i,ve,1,11,11
and,served,as,1,11,11
been,involved,in,1,11,11
board,of,supervisors,1,11,11
chief,william,bratton,1,11,11
departments,as,well,1,11,11
haven,t,been,1,11,11
he,added,that,1,11,11
he,said,los,1,11,11
in,new,york,1,11,11
it,s,been,1,11,11
los,angeles,was,1,11,11
new,york,city,2,22,11
of,his,career,1,11,11
of,the,community,1,11,11
of,the,long,1,11,11
police,departments,as,1,11,11
s,department,in,1,11,11
said,the,new,1,11,11
the,bulk,of,1,11,11
the,county,from,1,11,11
the,sheriff,s,7,77,11
the,square,mile,1,11,11
their,lives,on,1,11,11
to,the,public,1,11,11
to,the,san,1,11,11
part,of,the,2,20,10
regardless,of,the,1,10,10
that,there,is,1,10,10
criminal,justice,system,3,29,9.666666667
police,department,s,1,9,9
the,amount,of,1,9,9
the,criminal,justice,3,27,9
the,state,s,1,9,9
to,participate,in,1,9,9
all,of,the,1,7,7
are,likely,to,1,7,7
for,the,purpose,1,7,7
nature,of,the,1,7,7
of,the,federal,1,7,7
of,the,state,1,7,7
the,city,s,1,7,7
the,freedom,of,1,7,7
violation,of,the,1,7,7
that,the,government,2,13,6.5
data,driven,policing,1,6,6
department,of,justice,1,6,6
fact,that,the,1,6,6
i,ve,been,2,12,6
in,more,than,2,12,6
in,the,criminal,1,6,6
in,the,public,1,6,6
it,is,not,1,6,6
more,than,years,2,12,6
of,the,same,1,6,6
the,fbi,and,2,12,6
the,nature,of,1,6,6
the,need,to,1,6,6
to,the,extent,1,6,6
u,s,department,1,6,6
sheriff,s,department,22,124,5.636363636
a,master,s,2,11,5.5
been,convicted,of,2,11,5.5
director,of,the,2,11,5.5
east,los,angeles,2,11,5.5
from,the,los,2,11,5.5
the,fact,that,2,11,5.5
the,long,beach,2,11,5.5
domestic,violence,cases,3,16,5.333333333
as,well,as,6,31,5.166666667
a,number,of,2,10,5
across,the,country,1,5,5
in,which,a,1,5,5
law,enforcement,agencies,2,10,5
law,enforcement,to,1,5,5
of,data,and,1,5,5
that,it,is,1,5,5
the,ability,of,1,5,5
there,is,a,2,10,5
to,the,police,1,5,5
would,have,been,1,5,5
i,don,t,3,14,4.666666667
as,part,of,2,9,4.5
at,the,los,5,22,4.4
a,range,of,1,4,4
allows,users,to,1,4,4
along,with,the,1,4,4
back,to,the,1,4,4
can,be,used,1,4,4
can,lead,to,1,4,4
in,the,th,1,4,4
it,would,be,1,4,4
not,to,be,1,4,4
of,the,first,1,4,4
of,the,officer,1,4,4
on,the,other,1,4,4
over,the,last,1,4,4
participate,in,the,1,4,4
relationship,with,the,1,4,4
said,los,angeles,3,12,4
the,development,of,1,4,4
the,importance,of,1,4,4
the,need,for,1,4,4
the,purpose,of,2,8,4
the,victim,s,4,16,4
there,was,no,1,4,4
to,a,person,1,4,4
to,be,a,2,8,4
to,reduce,crime,2,8,4
to,the,state,1,4,4
u,s,in,1,4,4
well,as,the,1,4,4
attorney,jackie,lacey,3,11,3.666666667
district,attorney,jackie,3,11,3.666666667
master,s,degree,3,11,3.666666667
the,san,fernando,3,11,3.666666667
a,police,officer,2,7,3.5
some,of,the,5,17,3.4
a,lack,of,1,3,3
a,lot,of,1,3,3
a,result,of,1,3,3
around,the,world,1,3,3
as,much,as,1,3,3
because,of,the,1,3,3
california,march,saturday,1,3,3
challenge,to,the,1,3,3
course,of,action,1,3,3
crime,data,is,1,3,3
if,they,are,1,3,3
