of 1 of 1
a a 12 11
a and 2 1
a area 1 2
a bad 3 1
a billion 1 1
a break 2 1
a building 1 1
a california 1 2
a call 3 9
a case 3 14
a cell 1 4
a chance 2 12
a child 2 9
a city 2 13
a citywide 1 1
a civil 3 3
a co 1 5
a combination 1 7
a community 3 20
a concern 1 9
a condition 1 3
a cooperative 1 1
a coordinated 1 1
a county 4 3
a crime 6 58
a criminal 2 27
a crisis 1 4
a crowd 1 1
a current 1 2
a decade 4 12
a deeply 1 1
a degree 1 5
a direct 2 4
a domestic 3 1
a drop 2 2
a drug 3 5
a false 1 6
a family 1 2
a federal 2 17
a felony 6 6
a few 1 27
a fight 1 4
a film 3 2
a firearm 1 7
a first 1 3
a five 1 5
a former 3 3
a gang 1 23
a good 2 23
a green 2 4
a group 1 6
a growing 1 9
a gun 1 7
a gunshot 1 1
a hand 1 3
a handgun 1 1
a hate 1 1
a heightened 1 4
a high 1 37
a higher 1 14
a history 1 6
a hit 1 8
a home 2 9
a house 1 3
a is 1 1
a job 1 9
a judge 2 18
a large 1 12
a leading 1 1
a length 1 3
a letter 2 4
a life 2 2
a light 1 3
a little 1 14
a local 1 2
a long 1 15
a lot 4 21
a love 1 1
a m 5 5
a major 2 8
a man 4 16
a marked 1 1
a message 3 6
a minor 2 8
a monday 1 1
a much 1 8
a multi 1 4
a myriad 1 1
a nearly 1 2
a neighborhood 2 8
a network 1 9
a new 12 46
a news 2 3
a nonprofit 1 2
a number 3 47
a peace 2 1
a peaceful 2 1
a percent 14 3
a period 1 9
a person 2 79
a petition 2 2
a pg 12 2
a physical 1 2
a plan 5 1
a police 3 59
a possible 1 3
a prison 2 2
a problem 1 10
a program 1 12
a public 1 15
a push 2 1
a reason 1 5
a recent 4 18
a reduction 1 1
a representative 2 1
a result 9 62
a robust 2 1
a safe 1 2
a search 2 32
a second 2 10
a secret 1 2
a seemingly 1 1
a series 2 7
a serious 1 3
a sharp 1 3
a shooting 1 7
a significant 4 21
a similar 1 15
a simple 1 1
a six 2 4
a slew 1 3
a slight 1 1
a spike 3 1
a spokesman 3 1
a state 3 9
a statement 9 1
a stolen 1 1
a story 1 3
a strip 1 1
a suburb 1 1
a sudden 3 4
a supplemental 1 1
a surveillance 1 6
a suspect 1 39
a system 2 29
a task 3 2
a third 1 8
a time 1 18
a times 1 16
a tip 2 1
a traffic 2 3
a tremendous 1 2
a two 1 3
a union 1 1
a vehicle 1 4
a verbal 1 1
a victim 1 12
a violent 1 5
a warrant 4 27
a website 2 1
a well 1 7
a wide 1 11
a will 1 1
a witness 2 1
a woman 1 10
a working 1 1
a written 1 1
a year 16 25
able to 4 73
about a 3 20
about crime 1 5
about how 1 18
about of 1 1
about percent 2 4
about the 13 102
about this 2 4
about three 1 3
about through 1 1
about two 3 1
about whether 1 13
absence of 1 29
abuse and 1 4
abuse of 2 4
abuse or 1 1
acc no 1 2
access to 1 74
accidents and 2 1
according to 23 82
accuracy of 2 29
accused of 3 7
across the 11 41
act of 1 28
acting for 1 1
action and 1 3
active in 1 1
activity and 1 10
adding that 3 1
addition the 1 1
addition to 4 10
administration i 1 1
advantage of 1 7
african americans 1 10
after a 5 10
after an 3 3
after he 2 3
after the 2 52
after years 1 5
after you 1 4
aftermath of 3 2
against children 7 1
against police 3 5
against the 2 23
agencies the 1 7
agency llc 1 2
agency that 1 2
agency the 3 1
agent in 1 1
agents and 1 3
aggravated assaults 6 1
agree on 2 2
agreed to 3 7
all a 1 3
all of 4 68
all over 1 1
all rights 497 25
all these 1 1
all time 1 5
allegations against 3 1
alone a 1 1
along a 1 1
along with 3 8
also a 3 11
also be 1 24
also cited 2 1
also dropped 1 1
also expressed 1 1
also found 1 2
also has 2 2
also have 1 7
also noted 2 2
also on 1 1
also showed 1 1
alternative to 1 1
america and 1 1
american legal 2 1
americans in 1 3
among other 1 5
among the 5 10
amount of 1 53
amounts of 4 26
amounts to 1 3
amy e 2 1
an additional 1 3
an all 1 4
an alternative 1 16
an analysis 1 20
an argument 1 1
an armed 2 2
an assault 1 1
an elderly 1 1
an email 1 4
an end 1 2
an environment 1 4
an estimated 5 5
an examination 1 5
an image 2 4
an impact 4 1
an improved 2 1
an increase 4 9
an incredible 1 2
an indicator 1 2
an initial 2 4
an interview 4 2
