stop,and,1,214,214
http,www,2,352,176
is,not,1,167,167
likely,to,1,162,162
for,example,1,136,136
may,be,1,133,133
et,al,1,132,132
n,y,1,129,129
police,departments,1,120,120
of,these,1,116,116
that,is,1,105,105
the,fourth,1,99,99
need,to,1,98,98
and,other,1,90,90
data,and,1,88,88
at,least,1,85,85
rather,than,1,84,84
of,police,2,160,80
social,media,1,80,80
the,most,1,80,80
the,information,1,75,75
access,to,1,74,74
into,the,1,74,74
of,new,1,74,74
more,likely,1,73,73
not,be,1,73,73
consent,decree,1,67,67
in,order,1,65,65
order,to,1,64,64
in,their,1,63,63
of,law,1,57,57
are,more,1,54,54
the,court,2,107,53.5
amount,of,1,53,53
civil,rights,1,53,53
level,of,1,51,51
of,those,1,50,50
the,officer,1,50,50
u,s,9,446,49.55555556
to,predict,1,49,49
that,a,2,97,48.5
in,part,1,47,47
into,a,1,47,47
nytimes,com,1,47,47
the,current,1,47,47
university,of,1,47,47
there,is,3,139,46.33333333
focus,on,1,46,46
the,internet,1,46,46
can,be,4,180,45
in,some,1,45,45
it,has,1,45,45
the,use,2,89,44.5
in,which,2,88,44
the,problem,1,43,43
we,have,1,42,42
used,to,2,83,41.5
in,new,2,82,41
that,the,10,410,41
while,the,1,41,41
www,nytimes,1,41,41
are,not,2,80,40
many,of,1,40,40
that,are,2,80,40
the,s,1,40,40
a,person,2,79,39.5
a,suspect,1,39,39
because,they,1,39,39
it,would,1,39,39
since,the,1,39,39
the,process,1,39,39
to,see,1,39,39
way,to,1,39,39
who,are,1,39,39
would,be,3,117,39
police,are,1,38,38
the,more,1,38,38
to,law,1,38,38
within,the,1,38,38
a,high,1,37,37
but,also,1,37,37
the,need,1,37,37
their,own,1,37,37
nature,of,1,36,36
other,words,1,36,36
to,know,1,36,36
was,a,1,36,36
data,in,1,35,35
information,is,1,35,35
would,have,1,35,35
in,other,2,68,34
the,target,1,34,34
to,take,1,34,34
use,the,1,34,34
they,are,4,134,33.5
difficult,to,1,33,33
information,that,1,33,33
officers,to,1,33,33
that,could,1,33,33
that,has,1,33,33
to,use,2,65,32.5
to,be,11,354,32.18181818
and,social,1,32,32
as,the,5,160,32
chicago,police,1,32,32
crime,is,1,32,32
not,only,2,64,32
not,to,1,32,32
set,of,1,32,32
new,york,8,255,31.875
such,as,6,191,31.83333333
it,is,8,254,31.75
for,a,5,155,31
known,as,1,31,31
see,the,1,31,31
approach,to,1,30,30
cannot,be,1,30,30
not,have,1,30,30
terms,of,1,30,30
the,university,1,30,30
because,the,2,59,29.5
by,police,2,59,29.5
of,justice,3,88,29.33333333
absence,of,1,29,29
analysis,of,2,58,29
but,it,2,58,29
of,any,1,29,29
say,that,1,29,29
that,was,1,29,29
act,of,1,28,28
nypd,s,1,28,28
of,people,1,28,28
police,use,1,28,28
the,second,1,28,28
to,avoid,1,28,28
a,few,1,27,27
an,officer,1,27,27
be,found,1,27,27
for,any,1,27,27
on,their,1,27,27
right,to,1,27,27
the,chicago,1,27,27
the,people,1,27,27
to,make,3,81,27
after,the,2,52,26
evidence,that,1,26,26
history,of,1,26,26
is,to,2,52,26
most,of,1,26,26
we,will,1,26,26
when,they,1,26,26
police,officer,3,76,25.33333333
court,records,1,25,25
kinds,of,1,25,25
license,plate,1,25,25
that,of,1,25,25
the,absence,1,25,25
of,this,4,99,24.75
there,are,3,74,24.66666667
city,of,4,98,24.5
that,it,3,73,24.33333333
also,be,1,24,24
as,one,1,24,24
because,of,2,48,24
com,news,2,48,24
enforcement,to,1,24,24
when,it,1,24,24
where,the,2,47,23.5
a,gang,1,23,23
and,are,1,23,23
and,i,1,23,23
are,in,1,23,23
fbi,gov,1,23,23
hard,to,1,23,23
in,this,3,69,23
may,not,2,46,23
of,such,1,23,23
officers,and,2,46,23
police,in,1,23,23
law,enforcement,18,407,22.61111111
the,law,4,89,22.25
as,we,1,22,22
be,more,1,22,22
create,a,1,22,22
crime,data,1,22,22
for,their,1,22,22
in,any,1,22,22
is,more,1,22,22
then,the,1,22,22
to,prevent,1,22,22
if,the,5,107,21.4
but,this,1,21,21
could,not,1,21,21
for,more,1,21,21
is,an,2,42,21
quality,of,1,21,21
the,men,1,21,21
the,other,2,42,21
they,would,1,21,21
up,with,1,21,21
want,to,2,42,21
ways,to,1,21,21
and,more,2,41,20.5
police,chief,2,41,20.5
that,would,2,41,20.5
does,not,5,102,20.4
by,a,3,61,20.33333333
the,time,3,61,20.33333333
an,analysis,1,20,20
and,crime,1,20,20
attempt,to,1,20,20
has,the,1,20,20
of,california,1,20,20
of,how,1,20,20
of,their,4,80,20
on,an,1,20,20
or,the,2,40,20
that,information,1,20,20
the,entire,1,20,20
the,idea,1,20,20
to,what,1,20,20
using,the,1,20,20
when,the,3,60,20
whether,the,3,60,20
who,were,1,20,20
www,fbi,1,20,20
the,police,16,315,19.6875
a,police,3,59,19.66666667
lead,to,2,39,19.5
and,in,3,58,19.33333333
argued,that,1,19,19
federal,court,1,19,19
from,to,1,19,19
how,to,2,38,19
if,we,1,19,19
in,police,1,19,19
just,a,1,19,19
on,this,1,19,19
or,a,2,38,19
the,amount,1,19,19
the,business,1,19,19
police,and,4,75,18.75
and,the,25,468,18.72
and,it,3,56,18.66666667
if,they,2,37,18.5
able,to,4,73,18.25
a,time,1,18,18
about,how,1,18,18
and,local,1,18,18
available,to,1,18,18
d,c,2,36,18
death,of,1,18,18
involved,in,2,36,18
its,own,1,18,18
levels,of,1,18,18
metropolitan,police,1,18,18
of,violence,1,18,18
period,of,1,18,18
questions,about,1,18,18
search,warrant,1,18,18
the,early,1,18,18
the,job,1,18,18
the,past,2,36,18
the,two,2,36,18
uses,of,1,18,18
we,do,1,18,18
the,nypd,5,89,17.8
police,officers,8,142,17.75
united,states,11,194,17.63636364
that,police,2,35,17.5
the,person,2,35,17.5
all,of,4,68,17
argues,that,1,17,17
away,from,1,17,17
be,a,4,68,17
for,those,1,17,17
hot,spots,1,17,17
interest,in,1,17,17
like,a,1,17,17
millions,of,1,17,17
of,an,4,68,17
of,state,1,17,17
rate,of,1,17,17
s,a,2,34,17
s,most,1,17,17
take,the,1,17,17
the,agency,1,17,17
the,power,1,17,17
the,privacy,1,17,17
the,school,1,17,17
to,find,2,34,17
to,go,1,17,17
well,as,4,68,17
were,not,1,17,17
is,the,9,152,16.88888889
could,be,4,67,16.75
be,the,3,50,16.66666667
those,who,3,50,16.66666667
part,of,6,99,16.5
the,next,3,49,16.33333333
the,u,4,65,16.25
a,search,2,32,16
a,times,1,16,16
an,alternative,1,16,16
as,an,4,64,16
as,well,6,96,16
but,the,4,64,16
city,and,1,16,16
crime,the,1,16,16
federal,government,1,16,16
known,to,1,16,16
leads,to,1,16,16
looking,at,1,16,16
of,american,1,16,16
of,them,2,32,16
policing,the,2,32,16
the,late,1,16,16
to,more,1,16,16
to,search,1,16,16
to,this,2,32,16
violence,in,1,16,16
way,of,1,16,16
we,should,1,16,16
what,we,1,16,16
will,have,1,16,16
over,the,5,79,15.8
a,number,3,47,15.66666667
and,if,2,31,15.5
is,a,14,217,15.5
that,there,2,31,15.5
that,they,5,76,15.2
at,a,8,121,15.125
of,the,90,1360,15.11111111
a,long,1,15,15
a,public,1,15,15
a,similar,1,15,15
and,sometimes,1,15,15
com,us,1,15,15
decline,in,1,15,15
early,s,1,15,15
examples,of,1,15,15
had,to,1,15,15
i,have,1,15,15
in,washington,1,15,15
list,of,1,15,15
made,by,1,15,15
make,a,1,15,15
of,interest,1,15,15
only,the,1,15,15
professor,of,1,15,15
sort,of,1,15,15
system,that,1,15,15
the,ground,1,15,15
the,human,1,15,15
the,possibility,1,15,15
this,can,1,15,15
with,more,1,15,15
years,and,1,15,15
the,world,3,44,14.66666667
a,system,2,29,14.5
accuracy,of,2,29,14.5
state,and,2,29,14.5
to,say,2,29,14.5
a,higher,1,14,14
a,little,1,14,14
and,federal,1,14,14
any,of,1,14,14
as,much,1,14,14
as,to,3,42,14
at,this,1,14,14
being,used,1,14,14
but,not,1,14,14
case,the,1,14,14
come,to,1,14,14
emphasis,on,1,14,14
isn,t,1,14,14
live,in,1,14,14
of,black,1,14,14
of,different,1,14,14
over,a,1,14,14
prosecutors,have,1,14,14
suspect,s,1,14,14
that,crime,1,14,14
the,neighborhood,1,14,14
to,arrest,1,14,14
to,them,1,14,14
value,of,1,14,14
wake,of,1,14,14
as,a,23,321,13.95652174
from,the,16,223,13.9375
will,be,11,153,13.90909091
a,criminal,2,27,13.5
before,the,2,27,13.5
led,to,2,27,13.5
trying,to,2,27,13.5
i,m,3,40,13.33333333
was,not,3,40,13.33333333
about,whether,1,13,13
