   2363 los	angeles
   1344 in	the
   1341 of	the
    726 to	the
    500 of	documents
    500 load	date
    497 the	los
    490 rights	reserved
    490 all	rights
    484 block	of
    468 publication	type
    468 length	words
    468 language	english
    466 in	a
    454 said	the
    451 reserved	of
    440 type	newspaper
    440 according	to
    438 at	the
    435 angeles	county
    431 for	the
    425 newspaper	copyright
    400 english	publication
    398 on	the
    370 sheriff	s
    367 pg	length
    352 and	the
    347 to	be
    339 with	the
    339 law	enforcement
    336 of	a
    332 p	m
    329 the	city
    314 hate	crimes
    314 group	inc
    310 he	said
    310 a	pg
    303 a	a
    302 section	a
    295 to	a
    294 angeles	police
    292 from	the
    285 as	a
    284 by	the
    283 of	los
    280 in	los
    274 l	a
    268 police	department
    267 full	text
    266 words	abstract
    264 it	s
    255 a	m
    239 with	a
    234 u	s
    230 medianews	group
    228 copyright	medianews
    223 at	a
    217 that	the
    215 inc	and
    208 s	department
    192 county	sheriff
    192 and	los
    186 and	a
    181 has	been
    180 more	than
    174 he	was
    166 reported	stolen
    163 said	in
    163 s	office
    163 on	twitter
    159 have	been
    157 documents	the
    156 she	said
    155 the	lapd
    155 scng	com
    155 daily	news
    155 angeles	times
    154 a	man
    153 newspaper	group
    153 it	was
    152 twitter	section
    146 the	department
    146 angeles	newspaper
    145 said	he
    144 year	old
    140 last	year
    140 inc	all
    138 don	t
    137 one	of
    136 a	year
    135 is	a
    133 on	a
    130 violent	crime
    130 southern	california
    130 part	of
    130 officials	said
    130 m	dec
    128 hate	crime
    128 from	a
    127 for	a
    126 united	states
    124 attorney	s
    123 as	the
    122 during	the
    120 was	a
    120 san	gabriel
    116 department	s
    116 authorities	said
    116 and	other
    115 the	daily
    115 is	the
    114 that	s
    113 the	victim
    112 will	be
    111 the	sheriff
    111 out	of
    111 did	not
    111 after	the
    110 the	gang
    110 district	attorney
    109 the	san
    108 number	of
    108 news	of
    107 media	all
    107 first	media
    107 digital	first
    107 copyright	digital
    107 beck	said
    105 over	the
    104 the	state
    104 the	first
    104 it	is
    104 about	the
    103 were	reported
    103 the	crime
    103 of	crime
    102 the	country
    102 by	a
    102 as	well
    101 was	reported
    101 the	case
    101 task	force
    101 crime	and
    100 dec	block
     98 san	fernando
     98 had	been
     97 was	not
     97 is	not
     96 public	safety
     95 going	to
     94 this	year
     94 criminal	justice
     94 but	the
     93 she	was
     93 a	statement
     92 to	do
     92 the	u
     92 accused	of
     91 the	same
     91 the	man
     91 feb	block
     90 charged	with
     89 the	time
     89 the	fbi
     89 stolen	from
     89 members	of
     89 i	m
     89 angeles	and
     88 police	said
     88 department	of
     85 march	language
     85 date	march
     84 to	get
     84 increase	in
     84 across	the
     83 who	was
     83 associated	press
     82 the	public
     82 of	his
     82 m	feb
     82 in	an
     81 well	as
     81 up	to
     81 the	police
     81 of	hate
     80 crimes	in
     79 we	re
     79 there	was
     79 a	lot
     78 to	make
     78 this	is
     78 such	as
     78 said	it
     78 s	a
     78 i	was
     78 fernando	valley
     78 crime	in
     78 back	to
     78 at	least
     77 would	be
     77 was	arrested
     77 the	report
     77 suspicion	of
     77 san	bernardino
     77 orange	county
     76 the	united
     76 said	she
     76 gang	members
     75 trump	s
