,,CRIME,PP,PP/CRIME
unit,to,2,1,0.5
use,the,4,2,0.5
valley,and,2,1,0.5
we,are,12,6,0.5
when,a,4,2,0.5
who,has,2,1,0.5
wife,and,2,1,0.5
will,continue,2,1,0.5
woman,was,4,2,0.5
words,the,2,1,0.5
and,he,11,5,0.454545455
it,was,18,8,0.444444444
one,of,25,11,0.44
news,california,7,3,0.428571429
s,very,7,3,0.428571429
with,the,28,12,0.428571429
into,the,12,5,0.416666667
of,the,133,54,0.406015038
as,an,5,2,0.4
during,the,5,2,0.4
even,the,5,2,0.4
group,of,5,2,0.4
in,crime,10,4,0.4
in,one,5,2,0.4
law,enforcement,15,6,0.4
november,wednesday,5,2,0.4
that,we,5,2,0.4
the,best,5,2,0.4
the,number,5,2,0.4
under,the,5,2,0.4
using,the,10,4,0.4
is,the,13,5,0.384615385
as,well,8,3,0.375
by,the,24,9,0.375
san,bernardino,8,3,0.375
use,of,8,3,0.375
in,the,178,65,0.365168539
after,a,11,4,0.363636364
part,of,11,4,0.363636364
new,york,17,6,0.352941176
across,the,3,1,0.333333333
and,crime,6,2,0.333333333
and,two,3,1,0.333333333
angeles,times,12,4,0.333333333
can,say,3,1,0.333333333
early,s,3,1,0.333333333
for,all,6,2,0.333333333
from,a,15,5,0.333333333
have,people,3,1,0.333333333
he,will,3,1,0.333333333
in,san,3,1,0.333333333
is,on,3,1,0.333333333
is,to,3,1,0.333333333
it,to,3,1,0.333333333
joined,the,3,1,0.333333333
led,to,6,2,0.333333333
level,of,3,1,0.333333333
locations,of,3,1,0.333333333
meeting,with,3,1,0.333333333
s,he,3,1,0.333333333
s,most,3,1,0.333333333
s,to,3,1,0.333333333
section,a,3,1,0.333333333
serious,crime,3,1,0.333333333
shop,in,3,1,0.333333333
since,the,6,2,0.333333333
that,was,3,1,0.333333333
the,fifth,3,1,0.333333333
the,most,6,2,0.333333333
the,numbers,3,1,0.333333333
the,officer,3,1,0.333333333
the,results,3,1,0.333333333
the,year,15,5,0.333333333
to,focus,3,1,0.333333333
to,keep,6,2,0.333333333
to,put,3,1,0.333333333
up,on,3,1,0.333333333
used,in,3,1,0.333333333
violent,crime,6,2,0.333333333
who,had,3,1,0.333333333
at,a,28,9,0.321428571
the,crime,22,7,0.318181818
in,a,63,20,0.317460317
and,a,19,6,0.315789474
about,the,28,8,0.285714286
crime,rates,7,2,0.285714286
is,in,7,2,0.285714286
prefer,to,7,2,0.285714286
s,the,7,2,0.285714286
staff,writer,7,2,0.285714286
the,national,7,2,0.285714286
has,been,32,9,0.28125
after,the,11,3,0.272727273
had,been,11,3,0.272727273
in,los,33,9,0.272727273
able,to,8,2,0.25
and,i,4,1,0.25
as,they,4,1,0.25
can,t,4,1,0.25
desert,region,4,1,0.25
easy,to,4,1,0.25
graphic,photo,4,1,0.25
i,have,4,1,0.25
it,is,16,4,0.25
know,where,4,1,0.25
news,december,4,1,0.25
not,been,4,1,0.25
officers,were,4,1,0.25
overall,crime,4,1,0.25
police,say,4,1,0.25
report,of,4,1,0.25
s,a,16,4,0.25
said,in,8,2,0.25
said,they,4,1,0.25
see,more,16,4,0.25
should,be,4,1,0.25
the,last,8,2,0.25
the,university,4,1,0.25
to,http,16,4,0.25
to,look,4,1,0.25
university,of,4,1,0.25
where,to,4,1,0.25
will,take,4,1,0.25
words,dec,4,1,0.25
with,a,37,9,0.243243243
for,the,46,11,0.239130435
graphic,publication,22,5,0.227272727
english,graphic,31,7,0.225806452
at,the,67,15,0.223880597
go,to,18,4,0.222222222
the,state,9,2,0.222222222
there,was,9,2,0.222222222
when,the,9,2,0.222222222
the,los,65,14,0.215384615
and,the,56,12,0.214285714
on,the,70,15,0.214285714
the,sheriff,14,3,0.214285714
to,the,89,19,0.213483146
a,second,5,1,0.2
be,a,10,2,0.2
date,july,5,1,0.2
department,has,10,2,0.2
has,a,5,1,0.2
has,not,5,1,0.2
in,addition,5,1,0.2
in,rancho,5,1,0.2
is,being,10,2,0.2
july,language,5,1,0.2
looked,at,5,1,0.2
of,two,5,1,0.2
other,than,5,1,0.2
the,gang,5,1,0.2
the,head,5,1,0.2
the,u,5,1,0.2
time,to,5,1,0.2
was,no,5,1,0.2
who,was,10,2,0.2
year,in,5,1,0.2
is,a,21,4,0.19047619
august,language,16,3,0.1875
date,august,16,3,0.1875
documents,san,16,3,0.1875
he,was,32,6,0.1875
as,a,22,4,0.181818182
date,november,11,2,0.181818182
down,percent,11,2,0.181818182
november,language,11,2,0.181818182
number,of,11,2,0.181818182
there,s,11,2,0.181818182
was,found,11,2,0.181818182
http,www,17,3,0.176470588
a,place,6,1,0.166666667
along,with,6,1,0.166666667
asked,to,6,1,0.166666667
crime,information,6,1,0.166666667
december,language,6,1,0.166666667
news,pg,12,2,0.166666667
p,m,24,4,0.166666667
that,he,12,2,0.166666667
the,grand,6,1,0.166666667
the,world,6,1,0.166666667
to,commit,6,1,0.166666667
writer,section,6,1,0.166666667
newspaper,copyright,55,9,0.163636364
the,san,13,2,0.153846154
from,the,42,6,0.142857143
news,november,7,1,0.142857143
on,a,21,3,0.142857143
out,of,21,3,0.142857143
to,see,21,3,0.142857143
u,s,7,1,0.142857143
words,nov,7,1,0.142857143
type,newspaper,95,13,0.136842105
distributed,by,66,9,0.136363636
language,english,96,13,0.135416667
length,words,96,13,0.135416667
publication,type,96,13,0.135416667
angeles,police,30,4,0.133333333
a,year,32,4,0.125
and,regional,32,4,0.125
and,was,8,1,0.125
com,copyright,16,2,0.125
com,load,24,3,0.125
content,services,16,2,0.125
copyright,c,16,2,0.125
date,february,8,1,0.125
february,language,8,1,0.125
mct,visit,16,2,0.125
mctinfoservices,com,16,2,0.125
more,of,16,2,0.125
offered,by,16,2,0.125
pg,length,16,2,0.125
regional,news,32,4,0.125
services,mct,16,2,0.125
state,and,32,4,0.125
tribune,information,32,4,0.125
trying,to,8,1,0.125
www,mctinfoservices,16,2,0.125
by,mcclatchy,65,8,0.123076923
mcclatchy,tribune,65,8,0.123076923
information,services,49,6,0.12244898
acc,no,33,4,0.121212121
business,news,33,4,0.121212121
english,acc,33,4,0.121212121
section,state,33,4,0.121212121
tribune,business,33,4,0.121212121
by,mct,17,2,0.117647059
com,distributed,17,2,0.117647059
mct,information,17,2,0.117647059
services,offered,17,2,0.117647059
the,content,17,2,0.117647059
visit,www,17,2,0.117647059
reserved,of,61,7,0.114754098
at,www,18,2,0.111111111
services,for,18,2,0.111111111
to,take,9,1,0.111111111
of,a,46,5,0.108695652
news,length,47,5,0.106382979
copyright,the,10,1,0.1
documents,the,20,2,0.1
journal,code,40,4,0.1
newspaper,journal,40,4,0.1
with,his,10,1,0.1
information,about,31,3,0.096774194
year,old,42,4,0.095238095
section,news,32,3,0.09375
services,load,22,2,0.090909091
more,information,23,2,0.086956522
for,more,24,2,0.083333333
a,length,14,1,0.071428571
english,publication,28,2,0.071428571
pg,a,14,1,0.071428571
sheriff,s,85,6,0.070588235
s,department,32,2,0.0625
the,s,17,1,0.058823529
for,a,20,1,0.05
copyright,medianews,21,1,0.047619048
medianews,group,21,1,0.047619048
to,a,27,1,0.037037037
county,sheriff,36,1,0.027777778
load,date,500,13,0.026
of,documents,500,13,0.026
date,january,199,5,0.025125628
group,inc,41,1,0.024390244
los,angeles,1589,28,0.017621145
all,rights,465,8,0.017204301
rights,reserved,465,8,0.017204301
date,december,218,1,0.004587156
url,http,405,1,0.002469136
inc,all,435,1,0.002298851
