of 1 of 1
a a 12 10
a area 1 1
a bad 3 2
a call 3 8
a case 3 8
a cell 1 2
a chance 2 6
a child 2 7
a city 2 13
a column 1 1
a combination 1 4
a community 3 23
a concern 1 1
a confidential 3 1
a county 4 5
a crime 6 42
a criminal 2 35
a crisis 1 1
a crowd 1 1
a decade 4 6
a degree 1 3
a direct 2 3
a domestic 3 1
a drug 3 7
a false 1 1
a family 1 4
a federal 2 6
a felony 6 3
a few 1 11
a firearm 1 1
a foot 1 2
a former 3 3
a gang 1 18
a good 2 7
a group 1 4
a growing 1 2
a gun 1 8
a handgun 1 1
a heightened 1 12
a high 1 30
a higher 1 3
a history 1 5
a home 2 2
a job 1 2
a judge 2 3
a large 1 3
a lawyer 1 2
a letter 2 3
a life 2 3
a little 1 1
a local 1 5
a long 1 6
a lot 4 8
a major 2 3
a man 4 3
a marked 1 1
a message 3 1
a minor 2 4
a month 3 3
a much 1 4
a multi 1 1
a myriad 1 1
a nearly 1 1
a neighborhood 2 15
a network 1 4
a new 12 26
a news 2 1
a number 3 9
a percent 14 2
a period 1 4
a person 2 48
a petition 2 3
a physical 1 1
a plan 5 2
a police 3 44
a possible 1 1
a problem 1 3
a program 1 6
a public 1 3
a push 2 1
a recent 4 11
a responsibility 1 1
a result 9 29
a search 2 7
a second 2 2
a series 2 7
a serious 1 1
a sharp 1 1
a sheriff 2 1
a shooting 1 2
a significant 4 9
a similar 1 5
a slight 1 1
a spike 3 1
a spokesman 3 1
a state 3 4
a statement 9 2
a story 1 1
a suspect 1 60
a system 2 5
a telephone 1 1
a third 1 6
a time 1 8
a times 1 15
a tip 2 4
a traffic 2 4
a tremendous 1 2
a two 1 8
a vehicle 1 3
a verbal 1 1
a victim 1 4
a violent 1 8
a warrant 4 10
a website 2 1
a well 1 2
a wide 1 10
a witness 2 1
a woman 1 2
a year 16 11
able to 4 31
about a 3 32
about as 1 1
about crime 1 2
about every 1 1
about how 1 10
about million 1 1
about of 1 1
about the 13 62
about this 2 3
about violent 1 1
about whether 1 3
absence of 1 8
abuse and 1 1
access to 1 40
accidents and 2 1
according to 23 31
accuracy of 2 6
accused him 1 1
accused of 3 4
across the 11 30
act of 1 16
action and 1 1
action but 1 1
activity and 1 7
adding that 3 4
addition the 1 2
addition to 4 7
additional officers 2 3
advantage of 1 5
advocate for 1 3
african americans 1 11
after a 5 4
after an 3 1
after he 2 2
after his 2 1
after the 2 16
after years 1 3
after you 1 1
aftermath of 3 1
against children 7 1
against him 3 1
against muslims 1 2
against police 3 3
against the 2 9
agencies as 1 1
agencies the 1 1
agency that 1 2
agent in 1 1
agents and 1 4
ago as 1 2
agreed to 3 1
all murders 1 1
all of 4 16
all over 1 4
all rights 497 8
all these 1 2
alone a 1 1
along a 1 1
along with 3 4
also a 3 6
also be 1 8
also called 1 1
also found 1 2
also has 2 2
also have 1 1
also showed 1 3
alternative to 1 2
america and 1 1
american legal 2 1
americans in 1 3
amid the 1 5
among other 1 2
among people 1 1
among the 5 5
amount of 1 28
amounts of 4 8
amy e 2 1
an additional 1 4
an alternative 1 1
an analysis 1 2
an argument 1 1
an armed 2 1
an assault 1 1
an elderly 1 1
an end 1 1
an estimated 5 1
an examination 1 3
an extensive 1 3
an increase 4 1
an interview 4 3
an investigation 2 3
an officer 1 45
an ongoing 1 3
an online 1 1
an outstanding 1 2
an unknown 1 9
analysis of 2 14
and a 19 24
and all 4 6
and also 1 2
and an 1 2
and and 1 1
and another 1 2
and are 1 13
and arrested 1 2
and asked 1 1
and black 1 3
and blue 1 1
and bought 1 1
and building 2 3
and businesses 1 1
and concern 1 1
and continuing 1 1
and created 2 2
and crime 1 15
and cultural 1 5
and david 1 1
and domestic 1 1
and education 2 3
and evidence 1 2
and federal 1 6
and find 2 1
and for 1 5
and frequent 1 1
and friends 1 2
and gang 2 9
and government 1 5
and had 2 1
and has 8 8
and he 2 1
and her 1 1
and his 7 1
and how 3 7
and i 1 2
and if 2 2
and in 3 25
and includes 1 2
and increased 2 2
and information 1 8
and is 3 11
and it 3 9
and last 1 1
and local 1 27
and long 2 4
and look 1 1
and los 14 8
and make 1 4
and many 2 2
and mark 2 1
and money 2 4
and more 2 16
and nearly 1 1
and non 3 4
and officers 1 2
and one 1 1
and opportunities 1 1
and other 1 39
and particularly 2 3
and partnerships 2 1
and people 1 3
and physical 1 1
and pictures 1 1
and police 4 21
and policing 1 3
and prevent 1 4
and processed 1 1
and property 6 1
and prosecution 2 3
and regional 1 1
and restaurants 1 1
and runs 1 1
and security 1 6
and several 1 1
and share 1 4
and so 2 5
and social 1 20
and socially 1 2
and some 1 2
and strategies 1 4
and street 1 1
and study 2 1
and terry 2 1
and that 8 38
and the 25 282
and they 3 10
and this 1 1
and to 3 29
and two 2 1
and violent 2 12
and was 1 2
and were 2 1
and women 2 1
and your 2 1
and youth 2 4
angeles a 5 1
angeles and 4 4
angeles area 2 1
angeles county 954 2
angeles field 1 1
angeles for 3 1
angeles newspaper 11 3
angeles police 39 6
angeles the 3 1
angeles this 1 1
angeles unified 1 3
anger and 1 3
announced a 1 5
anti gang 3 1
anti muslim 1 3
any information 1 1
any member 1 1
any of 1 5
any other 1 3
anyone who 1 3
anyone with 6 1
anywhere in 1 1
appear at 2 1
appear to 1 11
appeared on 1 1
approach to 1 21
approved by 3 1
april language 5 3
are an 1 4
are being 4 5
are committed 2 1
are concerned 1 1
are cooperating 1 1
are far 1 4
are fearful 1 4
are in 1 11
are linked 1 2
are looking 1 3
are many 1 2
are more 1 37
are new 2 1
are no 3 6
are not 2 38
are of 1 3
are responsible 1 2
are seeking 1 1
are the 4 18
are under 1 9
are working 1 1
area and 1 7
area is 1 7
area of 1 4
areas in 1 5
areas of 2 7
areas on 3 1
areas where 1 1
aren t 2 3
