of 1 of 1
a bag 1 3
a better 2 1
a california 1 1
a car 2 13
a child 1 1
a concern 1 4
a couple 1 2
a crime 1 50
a critical 1 7
a d 1 3
a fact 1 1
a fascinating 1 1
a few 1 12
a former 1 1
a fourth 1 2
a gun 1 5
a high 1 28
a highly 1 1
a large 1 5
a length 1 1
a list 1 2
a man 1 10
a member 1 1
a month 1 2
a multi 1 2
a news 4 1
a number 2 7
a parking 1 2
a percent 2 8
a proposed 1 2
a record 1 1
a result 1 4
a row 2 2
a s 2 1
a serious 1 3
a shooting 1 2
a slight 1 1
a suspect 2 13
a the 1 3
a third 1 1
a top 1 1
a total 1 2
a year 1 5
able to 1 46
about the 2 32
abuse and 1 2
accompanied by 1 2
according to 2 16
account of 1 11
accused of 1 7
across the 1 14
activity in 1 6
adding that 1 3
addition to 1 5
after a 1 4
after the 3 8
against the 1 11
aggravated assault 2 1
all of 1 14
all rights 500 12
allowed to 1 5
also been 1 1
always a 1 1
always been 1 1
always clear 1 2
amount of 1 7
an effective 1 3
an increase 1 2
and a 1 34
and an 1 5
and are 1 10
and began 1 2
and by 1 5
and carpenter 2 1
and dangerous 1 1
and david 2 1
and diverse 1 1
and engaged 1 1
and eventually 1 1
and for 1 6
and grill 2 1
and has 1 2
and he 1 7
and how 1 7
and i 1 9
and its 1 15
and los 2 3
and national 2 3
and police 2 7
and posted 1 1
and property 2 4
and rapes 1 1
and s 1 2
and sarah 2 1
and screaming 1 1
and that 1 38
and the 3 198
and time 1 12
and to 1 31
and were 1 3
and who 1 5
and you 1 2
and youth 1 1
angeles byline 1 1
angeles los 1 1
angeles police 4 13
angeles suburb 1 1
another police 1 1
antonio villaraigosa 1 1
are a 1 2
are likely 1 8
are more 1 2
are very 1 2
area where 2 1
armed and 1 1
arose from 1 1
around the 1 10
arrested on 2 3
arrived at 1 1
arthur l 2 1
as a 6 106
as crime 1 3
as he 2 5
as more 1 4
as one 1 6
as over 1 1
as police 1 2
as property 1 1
as the 2 48
as well 4 34
as you 1 1
assaults and 1 1
associated press 2 3
association of 2 4
at a 3 60
at george 1 1
at high 1 1
at least 3 34
at the 7 108
at their 1 2
at times 1 2
attention to 2 9
auto theft 1 6
back to 1 12
be an 1 1
be in 2 10
be the 1 15
because of 1 14
beck said 4 1
become a 1 3
been a 1 5
before being 1 2
being jailed 1 1
believe that 1 5
believed to 1 3
boost the 1 1
break in 1 1
burglaries and 1 5
burglary and 1 6
but eventually 1 1
but he 1 1
but the 1 18
but they 1 5
by a 3 23
by only 1 1
by the 1 83
by working 1 3
calls for 1 7
can be 1 55
car and 1 7
car at 2 1
car in 1 1
case the 1 3
cases involving 1 4
cause to 1 3
center for 4 5
center of 2 1
changes in 1 1
charlie beck 2 3
chief charlie 2 2
chief of 1 2
children s 4 2
choice is 1 2
chosen to 1 1
cities in 1 6
city and 1 3
city have 1 1
city in 2 3
city of 4 19
city s 2 7
city to 1 2
closely with 1 2
co uk 1 1
commitment to 1 7
community policing 1 68
compared to 1 14
compared with 2 4
consequences of 1 9
continue to 3 9
continues to 2 1
control of 1 2
control the 1 4
counts of 2 1
county district 1 2
county of 5 2
county sheriff 2 5
couple of 1 3
crime and 1 58
crime for 1 3
crime in 3 27
crime prevention 6 15
crime rate 3 3
crime rates 2 13
crime suppression 1 4
crime to 1 7
crime will 1 13
crime would 1 2
crimes and 3 17
crimes in 3 11
crimes of 1 3
criminal activity 1 53
criminal defense 2 2
criminal gangs 1 1
cruz and 2 2
d and 4 1
daily news 1 1
dangers of 1 2
daniel j 2 1
data driven 1 12
date january 4 4
date september 1 2
decline in 1 3
declining crime 1 1
defense attorney 1 1
department for 1 3
department of 1 11
deputy district 1 1
did not 2 17
didn t 1 2
difficult and 1 3
difficult to 1 5
disruption to 1 1
district attorney 6 9
do not 1 23
do so 1 6
do that 1 2
documents copyright 491 3
documents the 4 4
don t 5 18
down to 1 1
dozens of 1 2
drive the 1 1
drop in 3 14
during a 1 3
during the 2 18
each other 1 5
early s 3 2
effect in 1 4
england and 2 1
english publication 8 8
equal justice 2 1
even as 1 2
exchange of 1 1
fact that 1 11
